putativeCellType,geneticLine,acgPeak,burstIndex,firingRate,troughtToPeak,brainRegion,lightResponse,rateDuringRipples,preferedThetaphase,thetaModulation,sessionName
Narrow Interneuron,id2/dlx/ai80,1.9,1.66426364572606,0.772528857368137,0.322615080891188,PTLp,0,-1.78779682684858,5.24334497190693,0.176934224038348,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.42,2.71943995691976,0.574958992404384,0.529206335250139,CA3,0,3.21889461934342,2.15303257210175,0.325085465666759,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.34,8.04441891633161,0.539797887278887,0.744389794919031,DG,0,9.5976740995509,2.81216983803602,0.221877870066887,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.86,0.475014697236919,0.50136430408157,0.714587583704415,PTLp,0,0.852802865422442,6.07579958935729,0.0176838266343393,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.78,0.140616029394879,3.14487130378805,0.648605515010875,PTLp,0,3.05361908436251,1.14457281054049,0.0260058805353115,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.54,0.171310199087977,3.33648230421962,0.477105845723898,CA3,0,-1.58214841896759,4.18919802779834,0.171070752205016,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.18,5.57253204312028,1.23701706515852,0.587769060972693,DG,0,18.1646015949983,3.04514294791402,0.145366447228103,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.78,0.607895202690742,2.061207191028,0.728611871433603,PTLp,0,1.18855341897972,2.90709247818949,0.0294023610929715,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.86,2.12671090081761,2.20039603012575,0.54297561107594,PTLp,0,3.1327945370234,6.13266701567454,0.0376999470051782,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,0.94,0.132353955445203,1.42763878625492,0.604983993990476,PTLp,0,0.0947509891508051,0.629235854535137,0.0381582920010008,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,1.82,0.573496841322928,10.63797239513,0.299447507974936,PTLp,0,5.23531250194161,2.58576621646325,0.0174077999437883,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.74,0.393732280275415,2.60575645671572,0.559227729537167,PTLp,0,1.45401239432642,4.16930490689638,0.0201030358117304,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.14,1.46040117273487,17.1337912457884,0.35746984590825,DG,0,-3.04752757869249,1.56207217948867,0.476758086365058,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.26,1.52418996893032,0.606904441558664,0.421235526093548,DG,0,3.4894729085374,1.70199167314981,0.187382697101111,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.02,0.246856407782602,1.61548727343708,0.66188039383395,PTLp,0,2.59543338790662,1.33040030468518,0.0169030330358482,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.78,0.312669298041947,1.63533625173227,0.617931427558678,CA1sp,0,1.51651907559181,6.18329348055926,0.349391288036217,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.34,4.78046324269889,0.366240823104163,0.502054631820862,CA3,0,1.87022710749678,2.09201555995264,0.253412163845784,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.34,10.1457013574661,0.625990747321528,0.62871316098774,DG,0,11.8762179079947,2.37593510057089,0.237578599960202,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,0.9,0.665806821438808,0.835480070899688,0.679422102532885,PTLp,0,0.908682096204098,0.590909832265423,0.0161745134785816,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.9,0.104384673022763,3.070618615308,0.469610271081345,PTLp,0,3.31670135689423,2.18541662789459,0.00806812870016129,fnkx9_200818_sess2
