putativeCellType,geneticLine,acgPeak,troughtToPeak,brainRegion,lightResponse,rateDuringRipples,preferedThetaphase,thetaModulation,sessionName
Pyramidal Cell,id2/dlx/ai80,1.78,0.491666666666667,PTLp,0,1.73748897105228,3.41274839084615,0.0380348787368552,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.02,0.7,PTLp,0,1.22515579446096,5.59339065343938,0.00710857068797706,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.18,0.658333333333333,PTLp,0,0.666989854238313,3.18939133643298,0.0297076528467201,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.34,0.733333333333333,CA3,0,2.75645540948135,2.16058049761243,0.166017806268557,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,1.82,0.425,DG,0,11.5590985702903,2.89594651518476,0.366176693609345,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.78,0.55,DG,0,10.1375435415751,2.94863804602907,0.362788241221161,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.38,0.491666666666667,CA3,0,0.433010690662634,2.15817995096429,0.309052905576084,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,0.98,0.458333333333333,PTLp,0,1.7491173603391,4.99638601165268,0.0336638001120838,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.82,0.466666666666667,DG,0,12.9414355206393,2.91756573424091,0.371077175836979,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.34,0.633333333333333,PTLp,0,1.19740571062644,2.31260566507342,0.0231223017934778,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.18,0.375,DG,0,7.56392980242619,2.13424415537292,0.356626567162798,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.74,0.566666666666667,PTLp,0,1.42296617145765,0.566650624767894,0.00701616511013128,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.1,0.258333333333333,CA1sp,0,11.3585165021398,2.65037792904206,0.285394624458169,fnkx9_200818_sess2
