x(um),y(um),ch(#)
500,5,1
0,5,2
505,5,3
5,5,4
500,0,5
0,0,6
505,0,7
5,0,8
1000,5,9
1500,5,10
1005,5,11
1505,5,12
1000,0,13
1500,0,14
1005,0,15
1505,0,16
