x(um),y(um),ch(#)
150,1600,1
150,1800,2
155,1600,3
155,1800,4
150,1595,5
150,1795,6
155,1595,7
155,1795,8
1500,-1800,9
1100,-2200,10
1550,-1800,11
1150,-2200,12
1500,-1850,13
1100,-2250,14
1550,-1850,15
1150,-2250,16
