uLEDName,channel,isAnalog,isDigital,code,shank,LED,probe
S1L1,5,0,1,1,1,1,1
S1L2,6,0,1,2,1,2,1
S1L3,7,0,1,3,1,3,1
S2L1,8,0,1,4,2,1,1
S2L2,9,0,1,5,2,2,1
S2L3,10,0,1,6,2,3,1
S3L1,11,0,1,7,3,1,1
S3L2,12,0,1,8,3,2,1
S3L3,13,0,1,9,3,3,1
S4L1,14,0,1,10,4,1,1
S4L2,15,0,1,11,4,2,1
S4L3,16,0,1,12,4,3,1
